NÚM.,TOM,MOST.,NOM CIENTÍFIC A HCBPFQ,FAMÍLIA HCBPFQ,NOM CIENTÍFIC A FMPC 2005,FAMÍLIA FMPC 2005,Nom vulgar,Enllaç al Medi Natural del Bages,Comentaris,Amaga
52,1,1,Aphillanthes Monspeliensis,Liliáceas,Aphyllanthes monspeliensis,Liliàcies,Jonça,https://elmedinaturaldelbages.cat/species/jonca-aphyllanthes-monspeliensis/,,
269,5,1,Aquilegia vulgaris ,Ranunculáceas,Aquilegia vulgaris ,Ranunculàcies,Corniol,https://elmedinaturaldelbages.cat/species/corniol-aquilegia-vulgaris/,,
124,3,1,Arabis Thaliana,Crucíferas,Arabidopsis thaliana ,Crucíferes,Arabidopsis,,,
121,3,1,Arabis auriculata,Crucíferas,Arabis auriculata,Crucíferes,Àrabis auriculada,https://elmedinaturaldelbages.cat/species/arabis-auriculata/,,
122,3,1,Arabis Gerardi,Crucíferas,Arabis hirsuta subsp. gerardi,Crucíferes,Àrabis hirsuta (1),,,
123,3,1,Arabis sagittata,Crucíferas,Arabis hirsuta subsp. sagittata,Crucíferes,Àrabis hirsuta (2),,,
314,5,1,Arenaria Conimbricensis ,Cariofiláceas,Arenaria conimbricensis ,Cariofil·làcies,Arenària de codina,https://elmedinaturaldelbages.cat/species/arenaria-de-codina-arenaria-conimbricensis/,,
315,5,1,Arenaria serpyllifolia,Cariofiláceas,Arenaria serpyllifolia,Cariofil·làcies,Arenària serpil·lifòlia,,,
313,5,1,Arenaria capitata,Cariofiláceas,Arenaria tetraquetra subsp. condensata,Cariofil·làcies,Arenària de coixinet,https://elmedinaturaldelbages.cat/species/arenaria-de-coixinet-arenaria-tetraquetra-subsp-condensata/,,
189,4,1,Argyrolobium Linnaeanum,Papilionáceas,Argyrolobium zanonii,Papilionàcies,Citís platejat,https://elmedinaturaldelbages.cat/species/citis-platejat-argirolobi-argyrolobium-zanonii/,,
116,2,1,Aristolochia longa ,Aristoloquiáceas,Aristolochia longa ,Aristoloquiàcies,Aristolòquia llarga,https://elmedinaturaldelbages.cat/species/aristoloquia-llarga-aristolochia-longa/,,
117,2,1,Aristolochia Pistolochia ,Aristoloquiáceas,Aristolochia pistolochia ,Aristoloquiàcies,Pistolòquia,https://elmedinaturaldelbages.cat/species/pistoloquia-aristolochia-pistolochia/,,
34,1,1,Arrhenatherum elatius,Gramináceas,Arrhenatherum elatius,Gramínies,Fromental,https://elmedinaturaldelbages.cat/species/fromental-arrhenatherum-elatius/,,
23,1,1,Asparagus acutifolius ,Esmiláceas,Asparagus acutifolius ,Liliàcies,Esparreguera boscana,https://elmedinaturaldelbages.cat/species/esparreguera-boscana-asparagus-acutifolius/,,
479,8,1,Asperula arvensis,Rubiáceas,Asperula arvensis,Rubiàcies,Rèvola de camp,,,
480,8,1,Asperula cynanchica,Rubiáceas,Asperula cynanchica,Rubiàcies,Herba prima,https://elmedinaturaldelbages.cat/species/herba-prima-asperula-cynanchica-ssp-brachysiphon/,,
53,1,1,Asphodelus fistulosus,Liliáceas,Asphodelus fistulosus,Liliàcies,Porrassí,https://elmedinaturaldelbages.cat/species/porrassi-cebolli-asphodelus-fistulosus/,,
13,1,1,Asplenium Adiantum nigrum,Polipodiáceas,Asplenium adiantum-nigrum,Polipodiàcies,Falzia de bosc,https://elmedinaturaldelbages.cat/species/falzia-de-bosc-asplenium-onopteris/,,
14,1,1,Asplenium fontanum ,Polipodiáceas,Asplenium fontanum ,Polipodiàcies,Falguereta de cingle,https://elmedinaturaldelbages.cat/species/falguereta-de-cingle-asplenium-fontanum/,,
15,1,1,Asplenium Ruta muraria ,Polipodiáceas,Asplenium ruta-muraria ,Polipodiàcies,Falzina blanca,https://elmedinaturaldelbages.cat/species/falzia-blanca-asplenium-ruta-muraria/,,
509,9,1,Aster acris,Compuestas,Aster sedifolius,Compostes,Indiana,https://elmedinaturaldelbages.cat/species/indiana-indianes-fadrins-i-fadrines-aster-sedifolius/,,
594,10,1,Asterolinum stellatum,Primuláceas,Asterolinon linum-stellatum ,Primulàcies,Lli estel·lat,,,
190,4,1,Astragalus glycyphyllos,Papilionáceas,Astragalus glycyphyllos,Papilionàcies,Regalèssia borda,,,
191,4,1,Astragalus Monspessulanus,Papilionáceas,Astragalus monspessulanus,Papilionàcies,Herba de sant Llorenç,https://elmedinaturaldelbages.cat/species/herba-de-sant-llorenc-astragalus-monspessulanus/,,
